id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
874340,The Room Upstairs - Free parking,4615590,Marta,Noord-West,52.42379,4.88851,Private room,103,2,333,2022-11-13,2.77,3,233,3
1057494,Lovely bright room with balcony and beatiful view!,1899420,Rosie,Zuid,52.34746,4.87559,Private room,75,2,518,2023-01-01,4.33,2,11,46
874688,5 BR apartment / Quiet / Garden,4585922,Alan,Oud-Oost,52.35894,4.91171,Entire home/apt,424,4,32,2022-08-17,0.27,1,105,4
579851,Private Studio on Spectacular Houseboat,2851886,Sonja,Westerpark,52.39144,4.88436,Private room,149,2,544,2023-02-22,4.29,1,42,52
1058082,Dreamstay with garden by Vondelpark entrance!,1436773,Marjolein,De Baarsjes - Oud-West,52.36324,4.8679,Entire home/apt,392,4,34,2022-08-07,0.28,1,164,4
877702,The Weavery Boutique Bed&Breakfast1,4614541,Driss And Bettina,Centrum-Oost,52.36136245727539,4.890488147735596,Private room,220,2,62,2023-02-11,0.52,2,185,18
1068565,House along the water in Amsterdam,5878526,Petra,IJburg - Zeeburgereiland,52.36064,4.97643,Entire home/apt,135,4,85,2022-08-16,0.71,1,5,2
582028,Quiet large park side apartment for 2 adults 1 kid,2865851,Oliver,Slotervaart,52.36022,4.84346,Entire home/apt,135,7,11,2022-06-17,0.1,1,79,1
582382,Amsterdam Family Home,2868026,Emer,Oud-Noord,52.39442,4.91478,Entire home/apt,170,5,20,2019-12-27,0.16,1,0,0
1069142,300m from ROYAL PALACE for the KING,3529778,Gijs,Centrum-West,52.37228,4.89668,Private room,165,2,423,2023-03-01,3.64,2,244,75
879986,Spacious room with private bathroom,3332206,Stef,De Pijp - Rivierenbuurt,52.3418,4.91066,Private room,109,5,556,2023-03-06,4.53,1,0,29
1071414,Amstel Fab Apart Centre Quiet near Amstel Hotel,5893654,Joke,Oud-Oost,52.35764,4.9067,Entire home/apt,164,3,391,2023-02-18,3.26,1,7,33
588020,Large 3 bedroom apartment surrounde,1759884,Ivan,Centrum-Oost,52.36918,4.91316,Entire home/apt,360,3,259,2023-02-23,2.64,3,175,62
1072171,"2 rooms apartment, near centrum in quiet area",5897418,Jasper,Bos en Lommer,52.37729,4.86053,Entire home/apt,124,7,15,2022-08-24,0.13,1,23,3
590236,Our Cozy Third floor Home,2912339,Kelli,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,140,4,46,2022-11-06,0.37,1,152,6
590386,amazing apartment in Amsterdam!!,2913467,Ido,Watergraafsmeer,52.35567,4.93175,Entire home/apt,200,7,7,2017-07-29,0.05,1,22,0
884329,"Bed & Boat, apartment on houseboat. Free Parking.",4684314,Frans,De Aker - Nieuw Sloten,52.343079,4.788886,Private room,153,2,501,2023-03-05,4.08,1,206,47
1085099,Spacious&Light apt. + sunny balcony @ lively area!,2816647,Mark,Bos en Lommer,52.37839,4.84853,Entire home/apt,200,3,94,2022-10-30,0.79,1,0,1
1086763,Dahli's Sleep Boutique - Streetview,3899684,City Apartments,Centrum-Oost,52.36256,4.89809,Private room,152,3,36,2023-03-02,0.35,2,193,17
886192,Luxurious and spacious mobile home,4698057,Bjorn,Noord-Oost,52.38462,5.01234,Entire home/apt,115,3,49,2022-09-25,0.46,1,177,9
890288,Lux 2-bed aprt + 2 bath + 2 terrace,4724613,Cindy,Zuid,52.35637,4.85373,Entire home/apt,335,2,45,2023-02-05,0.37,1,138,5
890355,Apartment near city centre + canals,4579810,Zehra,Westerpark,52.38875,4.87835,Entire home/apt,144,5,33,2020-02-09,0.39,2,0,0
590681,Beautiful large family garden house Vondelpark,2914846,Lotte,Zuid,52.34788,4.8506,Entire home/apt,380,2,19,2022-10-30,0.15,1,56,5
1086795,Dahli's Sleep Boutique - Gardenview,3899684,City Apartments,Centrum-Oost,52.36218,4.89768,Private room,169,3,26,2023-02-28,0.25,2,193,10
606871,Modern Houseboat | Canal Views! | JORDAAN AREA,3007402,Diewert,Westerpark,52.37621,4.87075,Private room,124,1,409,2023-03-03,3.35,1,271,92
608432,Sleep at Amy's B'n'B Front Room,3015785,Erik And Mary Jo,Centrum-West,52.381996,4.888583,Private room,95,1,774,2023-03-06,6.02,2,20,97
901789,Trendy apartment in Oud-West,4817958,Bastian,De Baarsjes - Oud-West,52.36997595854369,4.856519718051397,Entire home/apt,120,2,90,2023-01-11,0.75,1,44,8
906446,A cosy Bed and Breakfast in A'dam.,488009,Vivian,Buitenveldert - Zuidas,52.33229,4.87431,Private room,79,2,358,2023-02-19,2.98,2,303,32
1088859,sunny artistic attic with terrace,126790,Christopher,De Baarsjes - Oud-West,52.36688,4.87684,Entire home/apt,110,5,72,2023-01-03,0.6,1,15,4
1095819,Family home with canal view,6020988,Imke,Oud-Oost,52.35696,4.92971,Entire home/apt,180,3,17,2019-08-09,0.21,1,0,0
916096,Big central Jordaan apt + rooftop!,4917532,Nathalie,Centrum-West,52.379,4.87909,Entire home/apt,210,4,68,2022-08-24,0.57,1,18,7
613088,Your own cottage in the countryside,3040748,Henk,Noord-Oost,52.41016,4.96369,Private room,87,2,411,2023-01-25,3.2,10,68,32
613110,"All u need, nice place in amsterdam",3040855,Michael,IJburg - Zeeburgereiland,52.36368,4.9794,Private room,86,1,292,2022-10-30,2.28,1,221,13
1100569,bright room + private roof terrace,5134833,Andre,Osdorp,52.35622,4.79544,Private room,80,2,156,2023-01-02,1.36,2,66,1
623123,Beautiful and spacious apartment with big rooftop,2695123,Janne,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,450,5,25,2022-08-28,0.2,1,26,5
919131,Spacious family house in city centre,4937229,Guido,Zuid,52.35864,4.87632,Entire home/apt,449,3,62,2022-12-14,0.51,1,4,3
1102846,Bright in the centre of Amsterdam,6057160,Richard,Centrum-Oost,52.36474,4.90273,Entire home/apt,180,4,103,2022-08-13,0.86,1,34,6
920560,The Guestroom in Amsterdam,4947559,Marit & Victor,Watergraafsmeer,52.35448,4.93366,Entire home/apt,125,2,152,2023-02-20,1.67,1,199,41
